cLitter,cSoil,cVeg,npp,rh,nbp,fLuc,tas,fDis,Year,Model
193.061562925162,1307.33736177528,522.244420186164,41.8757702072912,38.5487695914627,0.536531959976501,0,NaN,2.79046865585199,1719,SURFEX
193.210212732751,1307.2904850656,522.377797987671,40.8771900264948,38.4937471815203,-0.618722749542185,0,NaN,3.00216559451668,1720,SURFEX
193.216403367877,1307.3813693281,521.482939363357,39.8574660669301,37.6969184459563,-0.71493150857315,0,NaN,2.87547912954692,1721,SURFEX
192.828147929689,1307.31649245572,521.849793675322,41.6432989608954,38.300018553032,0.57995591631326,0,NaN,2.7633244915502,1722,SURFEX
193.115401047669,1307.23458702915,522.319816893546,41.2907549093617,38.185884541536,0.15186939549396,0,NaN,2.95300097233173,1723,SURFEX
193.182929716141,1307.34677865188,521.90972366656,40.9877890480367,38.4914150963967,-0.256517174544962,0,NaN,2.75289112618498,1724,SURFEX
192.823841039695,1307.19286666188,522.298808129883,41.8532263428104,38.9197471509234,0.0848148667096919,0,NaN,2.84866432517734,1725,SURFEX
193.052100769881,1307.08248117061,522.376648592081,41.2805711730484,38.461238810012,-0.167619335273729,0,NaN,2.98695169831011,1726,SURFEX
193.016793819072,1307.08556585363,522.409867228607,41.7254680276666,38.3758946288304,0.481291902136549,0,NaN,2.86828149669964,1727,SURFEX
193.163889791264,1307.0594044431,522.687355915131,41.7122933653252,38.633837939185,0.196195715050598,0,NaN,2.88225971108958,1728,SURFEX
193.156979647483,1307.02048502372,522.573026023791,41.3024238342249,38.7175206823265,-0.427235124314492,0,NaN,3.01213827621293,1729,SURFEX
193.163895953461,1307.00471141013,522.511317794597,41.0362631889517,38.3221298809717,-0.179997845554462,0,NaN,2.89413115353444,1730,SURFEX
193.102655516413,1306.98831422067,522.196520395242,40.8645635751639,38.1647908630236,-0.14299205726717,0,NaN,2.84276476940751,1731,SURFEX
193.118187279361,1306.9521491753,522.242368741292,41.0268633686764,38.294151782577,0.0276344648535531,0,NaN,2.70507712124592,1732,SURFEX
193.148537839394,1306.91534150292,522.475938563862,41.4903255348835,38.3004060608499,0.343942029765156,0,NaN,2.84597744426845,1733,SURFEX
